Index,ndb,nsulph,ncof,nnitro,nhev,ntb,nrot,AWeight,ncocl,Hatov,Hy,UI,Qass,C Log P
293,3,1,0,3,21,0,5,13.821,0,2.391,-2.928,3.322,0.636,1.774
294,3,1,0,2,18,0,7,14.012,0,2.227,-2.78,3.322,0.607,1.783
295,2,0,0,5,9,0,2,13.12,0,2.358,-1.409,1.585,0.734,-1.244
296,2,1,0,2,25,0,7,13.451,0,2.6,-3.529,3.907,0.817,3.16
297,2,1,0,3,25,0,7,13.531,0,2.66,-3.344,3.907,0.956,2.491
298,0,0,0,1,12,0,2,12.51,0,2.093,-2.987,2.807,0.572,1.979
299,1,0,0,2,13,0,3,12.932,0,2.335,-2.562,3,0.748,0.572
300,0,0,0,2,19,0,5,15.794,0,1.726,-3.577,3.7,0.243,3.928
301,0,0,0,2,19,0,5,13.455,1,2.252,-3.577,3.7,0.248,3.819
302,1,0,0,2,21,0,4,12.201,0,2.658,-3.974,3.807,0.248,3.918
303,0,0,0,2,20,0,6,13.582,1,2.325,-3.458,3.7,0.407,3.403
304,0,0,0,1,24,0,6,13.237,1,2.289,-4.012,3.7,0.342,5.104
305,0,0,0,1,19,0,6,12.326,0,2.522,-3.801,3.7,0.346,3.354
306,0,0,0,2,20,0,6,12.41,0,2.405,-3.674,3.7,0.407,2.923
307,1,0,0,2,27,0,8,13.47,1,2.686,-3.698,3.807,0.939,3.148
308,1,0,0,2,22,0,0,13.258,1,2.593,-3.851,3.807,0.257,4.019
309,1,0,0,1,37,0,10,12.496,0,2.731,-4.505,4.322,1.124,5.511
310,2,0,0,2,27,0,3,13.322,1,2.567,-3.874,3.907,0.681,4.888
311,0,0,0,3,19,0,6,12.326,0,2.5,-3.577,3.7,0.384,2.65
312,2,0,0,1,22,0,0,12.102,0,2.739,-4.257,3.907,0.187,4.698
313,0,0,0,1,11,0,0,12.192,0,2.4,-3.145,0,0.161,1.914
314,0,0,0,1,13,0,0,12.165,0,2.026,-3.416,0,0.167,2.694
315,1,0,0,1,23,0,5,12.271,0,2.634,-4.13,3,0.386,3.962
316,0,0,0,1,21,0,5,12.296,0,2.5,-3.974,2.807,0.372,3.94
317,0,0,0,1,22,0,5,12.283,0,2.472,-4.054,2.807,0.376,4.331
318,1,0,0,1,14,0,3,13.293,0,3.559,-2.448,3,1.378,0.052
319,0,0,0,1,14,1,4,12.154,0,2.32,-3.535,3,0.187,2.183
320,1,0,0,2,10,0,1,12.809,0,2.844,-2.325,3,0.518,0.319
321,4,0,0,4,23,0,4,13.225,0,3.823,-2.753,4,1.022,1.74
322,1,0,2,4,27,0,7,15.782,0,2.349,-2.994,4.17,1.083,3.011
323,1,0,3,3,30,0,5,17.005,0,1.977,-3.435,3.807,1.002,3.781
324,4,0,1,5,37,0,6,16.006,0,2.027,-3.661,4.807,1.253,3.94
325,13,0,0,12,90,0,10,12.986,0,2.484,-4.472,4.858,4.391,0.726
326,7,2,0,5,50,0,15,13.89,0,2.812,-3.612,4.7,2.713,-0.656
327,3,0,0,1,39,0,5,13.187,0,3.184,-3.659,4,2.488,0.001
328,2,4,0,2,16,0,9,17.274,0,1.24,-2.5,1.585,0.342,3.621
329,2,0,0,1,14,0,5,16.857,0,1.995,-1.088,1.585,1.411,-1.273
330,2,0,0,0,11,0,2,17.997,0,1.779,-0.629,1.585,1.266,-0.992
331,2,0,0,1,19,0,9,15.581,0,1.83,-2.012,1.585,1.392,0.5
332,2,0,0,1,13,0,4,17.229,0,1.995,-0.854,1.585,1.409,-1.663
333,2,0,0,1,17,0,4,16.001,0,2.277,-1.683,3.17,1.371,-0.374
334,2,0,0,2,16,0,4,16.376,0,2.259,-1.25,3,1.497,-1.115
335,1,0,0,3,28,0,4,12.795,0,3.676,-3.606,4.644,1.469,3.711
336,1,0,0,0,16,0,1,13.008,0,3.31,-3,4.087,0.97,2.548
337,1,1,0,1,9,0,2,15.347,0,1.687,-1.761,1,0.68,0.107
338,3,0,0,2,20,0,5,30.242,0,0.809,-2.377,3.322,1.047,3.115
339,4,0,0,2,34,0,11,33.107,0,0.734,-2.993,4.087,1.57,6.848
340,3,0,0,3,31,0,13,24.352,0,1.111,-2.717,3.322,1.911,-1.378
341,3,0,0,3,31,0,13,24.352,0,1.116,-2.717,3.322,1.938,-1.014
342,3,0,0,3,32,0,14,23.966,0,1.108,-2.813,3.322,1.87,-0.406
343,3,0,0,2,20,0,5,30.242,0,0.809,-2.377,3.322,1.078,2.517
344,1,1,0,7,19,0,3,14.222,0,2.908,-2.012,4.087,1.009,0.664
345,7,0,0,1,57,0,7,12.886,0,2.387,-4.503,3,2.342,4.639
346,5,0,0,0,24,0,6,12.51,0,2.209,-4.012,3.585,0.84,5.167
347,0,0,0,0,14,0,7,13.72,0,2.132,-2.176,0,0.537,2.166
348,1,1,0,3,11,0,3,16.103,0,1.594,-1.887,1,0.236,0.158
349,1,0,0,6,21,0,4,12.771,0,3.19,-2.928,3.585,0.961,1.092
350,1,0,0,4,17,0,2,13.184,0,3.423,-2.404,3.585,0.933,-0.692
351,1,1,1,3,16,0,2,14.823,0,2.827,-2,3,0.992,-0.455
352,1,1,0,3,15,0,2,14.545,0,2.679,-2.084,3,0.914,-0.594
353,3,0,0,2,16,0,2,13.257,0,3.158,-2.5,3.322,0.888,-1.191
354,4,0,0,5,19,0,3,13.376,0,3.257,-2.236,3.459,0.89,-0.678
355,2,0,0,0,7,0,1,17.569,0,2.346,-0.401,1.585,1.089,-0.158
356,3,2,0,6,50,0,22,13.452,0,2.375,-4.176,4.7,1.818,5.905
357,4,0,0,3,36,0,27,13.812,0,2.274,-3.159,2.322,2.25,2.169
358,0,0,0,4,22,0,5,12.555,0,2.431,-3.446,3.459,0.632,2.215
359,5,0,0,0,32,0,7,13.616,1,2.449,-3.75,2.585,1.535,3.917
360,2,0,0,1,25,0,5,12.569,0,2.732,-3.901,3.907,0.935,3.59
361,1,0,0,4,15,0,2,15.669,2,2.3,-2.344,3,0.65,1.947
362,0,0,0,1,22,0,11,12.646,0,2.413,-3.649,2.807,0.816,2.393
363,1,0,0,1,21,0,6,12.676,0,2.368,-3.556,3,0.758,2.333
364,0,1,0,4,21,0,7,13.916,0,2.107,-2.719,2.585,1.046,0.502
365,3,0,0,1,30,0,13,12.609,0,2.683,-4.089,3.322,1.005,3.147
